Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Other Services,Unlisted Procedure,49329,"Unlisted laparoscopy procedure, abdomen, peritoneum and omentum",Yes,CareCore National,
Other Services,Unlisted Procedure,44979,"Unlisted laparoscopy procedure, appendix",Yes,CareCore National,
Other Services,Unlisted Procedure,47579,"Unlisted laparoscopy procedure, biliary tract",Yes,CareCore National,
Other Services,"Experimental /
Investigational",43289,"Unlisted laparoscopy procedure, esophagus",Yes,CareCore National,
Other Services,"Experimental /
Investigational",49659,"Unlisted laparoscopy procedure, hernioplasty, herniorrhaphy, herniotomy",Yes,CareCore National,
Other Services,"Experimental /
Investigational",44238,"Unlisted laparoscopy procedure, intestine (except rectum)",Yes,CareCore National,
Other Services,"Experimental /
Investigational",38589,"Unlisted laparoscopy procedure, lymphatic system",Yes,CareCore National,
Other Services,Unlisted Procedure,58679,"Unlisted laparoscopy procedure, oviduct, ovary",Yes,CareCore National,
Other Services,Unlisted Procedure,38129,"Unlisted laparoscopy procedure, spleen",Yes,CareCore National,
Other Services,"Experimental /
Investigational",43659,"Unlisted laparoscopy procedure, stomach",Yes,CareCore National,
Other Services,Unlisted Procedure,50949,"Unlisted laparoscopy procedure, ureter",Yes,CareCore National,
Other Services,"Experimental /
Investigational",58578,"Unlisted laparoscopy procedure, uterus",Yes,CareCore National,
Other Services,Unlisted Procedure,21089,Unlisted maxillofacial prosthetic procedure,Yes,CareCore National,
Other Services,"Experimental /
Investigational",21499,"Unlisted musculoskeletal procedure, head",Yes,CareCore National,
Other Services,Potentially Cosmetic,22999,"Unlisted procedure, abdomen, musculoskeletal system",Yes,CareCore National,
Other Services,"Experimental /
Investigational",49999,"Unlisted procedure, abdomen, peritoneum and omentum",Yes,CareCore National,
Other Services,"Experimental /
Investigational",31299,"Unlisted procedure, accessory sinuses",Yes,CareCore National,
Other Services,"Experimental /
Investigational",66999,"Unlisted procedure, anterior segment of eye",Yes,CareCore National,
Other Services,"Experimental /
Investigational",46999,"Unlisted procedure, anus",Yes,CareCore National,
Other Services,Unlisted Procedure,47999,"Unlisted procedure, biliary tract",Yes,CareCore National,
Other Services,"Experimental /
Investigational",19499,"Unlisted procedure, breast",Yes,CareCore National,
Other Services,Unlisted Procedure,45399,"Unlisted procedure, colon",Yes,CareCore National,
Other Services,Unlisted Procedure,39599,"Unlisted procedure, diaphragm",Yes,CareCore National,
Other Services,Unlisted Procedure,60699,"Unlisted procedure, endocrine system",Yes,CareCore National,
Other Services,"Experimental /
Investigational",43499,"Unlisted procedure, esophagus",Yes,CareCore National,
Other Services,Potentially Cosmetic,69399,"Unlisted procedure, external ear",Yes,CareCore National,
Other Services,Unlisted Procedure,67999,"Unlisted procedure, eyelids",Yes,CareCore National,
Other Services,"Experimental /
Investigational",58999,"Unlisted procedure, female genital system (nonobstetrical)",Yes,CareCore National,
Other Services,"Experimental /
Investigational",38999,"Unlisted procedure, hemic or lymphatic system",Yes,CareCore National,
Other Services,Unlisted Procedure,69949,"Unlisted procedure, inner ear",Yes,CareCore National,
Other Services,Unlisted Procedure,68899,"Unlisted procedure, lacrimal system",Yes,CareCore National,
Other Services,Unlisted Procedure,31599,"Unlisted procedure, larynx",Yes,CareCore National,
Other Services,Unlisted Procedure,40799,"Unlisted procedure, lips",Yes,CareCore National,
Other Services,Unlisted Procedure,47399,"Unlisted procedure, liver",Yes,CareCore National,
Other Services,Unlisted Procedure,32999,"Unlisted procedure, lungs and pleura",Yes,CareCore National,
Other Services,"Experimental /
Investigational",55899,"Unlisted procedure, male genital system",Yes,CareCore National,
Other Services,"Experimental /
Investigational",69799,"Unlisted procedure, middle ear",Yes,CareCore National,
Other Services,Unlisted Procedure,21899,"Unlisted procedure, neck or thorax",Yes,CareCore National,
Other Services,"Experimental /
Investigational",30999,"Unlisted procedure, nose",Yes,CareCore National,
Other Services,"Experimental /
Investigational",42299,"Unlisted procedure, palate, uvula",Yes,CareCore National,
Other Services,"Experimental /
Investigational",48999,"Unlisted procedure, pancreas",Yes,CareCore National,
Other Services,Unlisted Procedure,42999,"Unlisted procedure, pharynx, adenoids, or tonsils",Yes,CareCore National,
Other Services,Unlisted Procedure,67299,"Unlisted procedure, posterior segment",Yes,CareCore National,
Other Services,Unlisted Procedure,45999,"Unlisted procedure, rectum",Yes,CareCore National,
Other Services,Unlisted Procedure,42699,"Unlisted procedure, salivary glands or ducts",Yes,CareCore National,
Other Services,Potentially Cosmetic,17999,"Unlisted procedure, skin, mucous membrane and subcutaneous tissue",Yes,CareCore National,
Other Services,Unlisted Procedure,44799,"Unlisted procedure, small intestine",Yes,CareCore National,
Other Services,"Experimental /
Investigational",43999,"Unlisted procedure, stomach",Yes,CareCore National,
Other Services,"Experimental /
Investigational",41599,"Unlisted procedure, tongue, floor of mouth",Yes,CareCore National,
Other Services,Unlisted Procedure,31899,"Unlisted procedure, trachea, bronchi",Yes,CareCore National,
,Unlisted Procedure,53899,"Unlisted procedure, urinary system",Yes,CareCore National,
