Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37283,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal angioplasty,
including all maneuvers necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all
imaging guidance and radiological supervision and interpretation necessary to perform the angioplasty within the same artery,
unilateral; complex lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37284,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal stent
placement, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the stent placement and angioplasty when performed, within the same artery, unilateral;
straightforward lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37285,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal stent
placement, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the stent placement and angioplasty when performed, within the same artery, unilateral;
straightforward lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37286,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal stent
placement, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the stent placement and angioplasty when performed, within the same artery, unilateral;
complex lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37287,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal stent
placement, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the stent placement and angioplasty when performed, within the same artery, unilateral;
complex lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37288,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal atherectomy,
including transluminal angioplasty when performed, including all maneuvers necessary for accessing and selectively
catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and interpretation
necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral; straightforward
lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37289,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal atherectomy,
including transluminal angioplasty when performed, including all maneuvers necessary for accessing and selectively
catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and interpretation
necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral; straightforward
lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37290,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal atherectomy,
including transluminal angioplasty when performed, including all maneuvers necessary for accessing and selectively
catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and interpretation
necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral; complex lesion,
initial vessel",Yes,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37291,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal atherectomy,
including transluminal angioplasty when performed, including all maneuvers necessary for accessing and selectively
catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and interpretation
necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral; complex lesion,
each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37292,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal stent
placement, with transluminal atherectomy, including transluminal angioplasty when performed, including all maneuvers
necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all imaging guidance and
radiological supervision and interpretation necessary to perform the stent placement, atherectomy, and angioplasty when
performed, within the same artery, unilateral; straightforward lesion, initial vessel",Yes,CareCore National,
