Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Musculoskeletal,Joint Surgery,0707T,"Injection(s), bone-substitute material (eg, calcium phosphate) into subchondral bone defect (ie, bone marrow lesion, bone
bruise, stress injury, microtrabecular fracture), including imaging guidance and arthroscopic assistance for joint visualization",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,0335T,Insertion of sinus tarsi implant,Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27425,"Lateral retinacular release, open",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27427,"Ligamentous reconstruction (augmentation), knee; extra-articular",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27428,"Ligamentous Reconstruction (Augmentation), Knee;Intra-Articular (Open)",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27429,"Ligamentous Reconstruction (Augmentation), Knee;Intra-Articular (Open) And Extra-Articular",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27860,Manipulation of ankle under general anesthesia (includes application of traction or other fixation apparatus),Yes,MedSolutions,
Musculoskeletal,Joint Surgery,24300,"Manipulation, elbow, under anesthesia",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27275,"Manipulation, hip joint, requiring general anesthesia",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,25259,"Manipulation, wrist, under anesthesia",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,L8641,Metatarsal joint implant,Yes,MedSolutions,
Musculoskeletal,Joint Surgery,64913,"Nerve repair; with nerve allograft, each additional strand (List separately in addition to code for primary procedure)",Add On,MedSolutions,
Musculoskeletal,Joint Surgery,64912,"Nerve repair; with nerve allograft, each nerve, first strand (cable)",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27415,"Osteochondral allograft, knee, open",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27416,"Osteochondral autograft(s), knee, open (eg, mosaicplasty) (includes harvesting of autograft[s])",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27360,"Partial excision (craterization, saucerization, or diaphysectomy) bone, femur, proximal tibia and/or fibula (eg, osteomyelitis or
bone abscess)",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23420,"Reconstruction of complete shoulder (rotator) cuff avulsion, chronic (includes acromioplasty)",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27420,"Reconstruction of dislocating patella; (eg, Hauser type procedure)",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27422,"Reconstruction Of Dislocating Patella;With Extensor Realignment And/Or Muscle Advancement Or Release (Eg, Campbell,
Goldwaite Type Procedure)",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27424,Reconstruction Of Dislocating Patella;With Patellectomy,Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23000,"Removal of subdeltoid calcareous deposits, open",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23410,"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; acute",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23412,"Repair Of Ruptured Musculotendinous Cuff (Eg, Rotator Cuff) Open;Chronic",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27405,"Repair, primary, torn ligament and/or capsule, knee; collateral",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23440,Resection or transplantation of long tendon of biceps,Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27137,"Revision of total hip arthroplasty; acetabular component only, with or without autograft or allograft",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27134,"Revision of total hip arthroplasty; both components, with or without autograft or allograft",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27138,"Revision Of Total Hip Arthroplasty; Femoral Component Only, With Or Without Autograft Or Allograft",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27486,"Revision Of Total Knee Arthroplasty, With Or Without Allograft; 1 Component",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27487,"Revision of total knee arthroplasty, with or without allograft; femoral and entire tibial component",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23474,"Revision of total shoulder arthroplasty, including allograft when performed; humeral and glenoid component",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23473,"Revision of total shoulder arthroplasty, including allograft when performed; humeral or glenoid component",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23174,"Sequestrectomy (eg, for osteomyelitis or bone abscess), humeral head to surgical neck",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23172,"Sequestrectomy (eg, for osteomyelitis or bone abscess), scapula",Yes,MedSolutions,
Musculoskeletal,Joint Surgery,23430,Tenodesis of long tendon of biceps,Yes,MedSolutions,
Musculoskeletal,Joint Surgery,27175,"Treatment of slipped femoral epiphysis; by traction, without reduction",Yes,MedSolutions,
