Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Laboratory Management,Molecular Lab,0645U,"FusionMRD™ Monitoring, a lab test that looks for cancer cells in the blood to see if a person still has signs of cancer after
treatment",Yes,CareCore National,
Laboratory Management,Molecular Lab,0646U,"Plasma Detect Genome MRD – Baseline, an initial lab test that looks for certain gene findings that can be linked to a cancer
and can be used with other tests done later to see if a person still has signs of cancer after treatment",Yes,CareCore National,
Laboratory Management,Molecular Lab,0647U,"Plasma Detect Genome MRD – Monitoring, a lab test that looks for cancer cells in the blood to see if a person still has signs
of cancer after treatment",Yes,CareCore National,
Laboratory Management,Molecular Lab,0648U,"Oncomine Dx Express Test, a lab test done to look for errors in genes that can predict how well a drug might work for treating
certain lung cancers",Yes,CareCore National,
Laboratory Management,Molecular Lab,0649U,"MAP-AD, a lab test done to look for certain markers linked to Alzheimer's disease",Yes,CareCore National,
Laboratory Management,Molecular Lab,0650U,"CKM PGx™ Panel (Hypertension and Cardiovascular-kidney-metabolic pharmacogenetic panel), a lab tests done to look for
gene errors that may impact how the body responds to certain drugs",Yes,CareCore National,
Laboratory Management,Molecular Lab,0651U,"OncoDx™ (Hereditary Germline Cancer Genetics Panel), a lab test done to look for gene errors that can cause high risks for
certain cancers",Yes,CareCore National,
Laboratory Management,Molecular Lab,0652U,"RenaPGx™ (Renal Pharmacogenetic Test), a lab tests done to look for gene errors that may impact how the body responds
to certain drugs",Yes,CareCore National,
Laboratory Management,Molecular Lab,0653U,"RenaXome™ (Renal Disease Whole Exome Sequencing), a lab test done to look for errors in the parts of all the genes that
make proteins and can cause kidney disease",Yes,CareCore National,
Laboratory Management,Molecular Lab,0657U,"GenomeDx Rapid, Comparator, a lab test that compares genome results between family members and reports results faster
than with standard testing",Yes,CareCore National,
Laboratory Management,Molecular Lab,0658U,"GenomeDx Rapid, Proband, a lab test that looks for errors in the genome and reports results faster than with standard testing",Yes,CareCore National,
Laboratory Management,Molecular Lab,0659U,"GenomeDx ultraRapid, Proband, a lab test that looks for errors in the genome and reports results much faster than with
standard testing",Yes,CareCore National,
Laboratory Management,Molecular Lab,81162,"BRCA1 (BRCA1, DNA repair associated), BRCA2 (BRCA2, DNA repair associated) (eg, hereditary breast and ovarian
cancer) gene analysis; full sequence analysis and full duplication/deletion analysis (ie, detection of large gene",Yes,CareCore National,
Laboratory Management,Molecular Lab,81163,"rearrangements)
BRCA1 (BRCA1, DNA repair associated), BRCA2 (BRCA2, DNA repair associated) (eg, hereditary breast and ovarian
cancer) gene analysis; full sequence analysis",Yes,CareCore National,
Laboratory Management,Molecular Lab,81164,"BRCA1 (BRCA1, DNA repair associated), BRCA2 (BRCA2, DNA repair associated) (eg, hereditary breast and ovarian
cancer) gene analysis; full duplication/deletion analysis (ie, detection of large gene rearrangements)",Yes,CareCore National,
Laboratory Management,Molecular Lab,81165,"BRCA1 (BRCA1, DNA repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; full sequence analysis",Yes,CareCore National,
Laboratory Management,Molecular Lab,81166,"BRCA1 (BRCA1, DNA repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; full duplication/deletion
analysis (ie, detection of large gene rearrangements)",Yes,CareCore National,
Laboratory Management,Molecular Lab,81167,"BRCA2 (BRCA2, DNA repair associated) (eg, hereditary breast and ovarian cancer) gene analysis; full duplication/deletion
analysis (ie, detection of large gene rearrangements)",Yes,CareCore National,
Laboratory Management,Molecular Lab,81195,"Cytogenomic (genome-wide) analysis, hematologic malignancy, structural variants and copy number variants, optical genome
mapping (OGM)",Yes,CareCore National,
Laboratory Management,Molecular Lab,81212,"BRCA1 (BRCA1, DNA repair associated), BRCA2 (BRCA2, DNA repair associated) (eg, hereditary breast and ovarian
cancer) gene analysis; 185delAG, 5385insC, 6174delT variants",Yes,CareCore National,
