Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Radiology,MR,71552,"Magnetic resonance (eg, proton) imaging, chest (eg, for evaluation of hilar and mediastinal lymphadenopathy); without
contrast material(s), followed by contrast material(s) and further sequences",Yes,MedSolutions,
Radiology,MRA,71555,"Magnetic resonance angiography, chest (excluding myocardium), with or without contrast material(s)",Yes,MedSolutions,
Radiology,CT,72125,"Computed tomography, cervical spine; without contrast material",Yes,MedSolutions,
Radiology,CT,72126,"Computed tomography, cervical spine; with contrast material",Yes,MedSolutions,
Radiology,CT,72127,"Computed tomography, cervical spine; without contrast material, followed by contrast material(s) and further sections",Yes,MedSolutions,
Radiology,CT,72128,"Computed tomography, thoracic spine; without contrast material",Yes,MedSolutions,
Radiology,CT,72129,"Computed tomography, thoracic spine; with contrast material",Yes,MedSolutions,
Radiology,CT,72130,"Computed tomography, thoracic spine; without contrast material, followed by contrast material(s) and further sections",Yes,MedSolutions,
Radiology,CT,72131,"Computed tomography, lumbar spine; without contrast material",Yes,MedSolutions,
Radiology,CT,72132,"Computed tomography, lumbar spine; with contrast material",Yes,MedSolutions,
Radiology,CT,72133,"Computed tomography, lumbar spine; without contrast material, followed by contrast material(s) and further sections",Yes,MedSolutions,
Radiology,MR,72141,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, cervical; without contrast material",Yes,MedSolutions,
Radiology,MR,72142,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, cervical; with contrast material(s)",Yes,MedSolutions,
Radiology,MR,72146,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, thoracic; without contrast material",Yes,MedSolutions,
Radiology,MR,72147,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, thoracic; with contrast material(s)",Yes,MedSolutions,
Radiology,MR,72148,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, lumbar; without contrast material",Yes,MedSolutions,
Radiology,MR,72149,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, lumbar; with contrast material(s)",Yes,MedSolutions,
Radiology,MR,72156,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, without contrast material, followed by contrast
material(s) and further sequences; cervical",Yes,MedSolutions,
Radiology,MR,72157,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, without contrast material, followed by contrast
material(s) and further sequences; thoracic",Yes,MedSolutions,
Radiology,MR,72158,"Magnetic resonance (eg, proton) imaging, spinal canal and contents, without contrast material, followed by contrast
material(s) and further sequences; lumbar",Yes,MedSolutions,
Radiology,MRA,72159,"Magnetic resonance angiography, spinal canal and contents, with or without contrast material(s)",Yes,MedSolutions,
