Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation,source_file
Musculoskeletal,Spine Surgery,22612,"Arthrodesis, Posterior Or Posterolateral Technique, Single Interspace; Lumbar (With Lateral Transverse Technique, When
Performed)",Yes,CareCore National,,Table_table_18.csv
Musculoskeletal,Spine Surgery,22610,"Arthrodesis, posterior or posterolateral technique, single interspace; thoracic (with lateral transverse technique, when
performed)",Yes,CareCore National,,Table_table_18.csv
Musculoskeletal,Spine Surgery,22595,"Arthrodesis, posterior technique, atlas-axis (C1-C2)",Yes,CareCore National,,Table_table_18.csv
Musculoskeletal,Spine Surgery,22804,"Arthrodesis, posterior, for spinal deformity, with or without cast; 13 or more vertebral segments",Yes,CareCore National,,Table_table_18.csv
Musculoskeletal,Spine Surgery,22802,"Arthrodesis, posterior, for spinal deformity, with or without cast; 7 to 12 vertebral segments",Yes,CareCore National,,Table_table_18.csv
Musculoskeletal,Spine Surgery,22800,"Arthrodesis, posterior, for spinal deformity, with or without cast; up to 6 vertebral segments",Yes,CareCore National,,Table_table_18.csv
Musculoskeletal,Spine Surgery,22586,"Arthrodesis, pre-sacral interbody technique, including disc space preparation, discectomy, with posterior instrumentation, with
image guidance, includes bone graft when performed, L5-S1 interspace",Yes,CareCore National,,Table_table_18.csv
Musculoskeletal,Spine Surgery,27280,"Arthrodesis, sacroiliac joint, open, includes obtaining bone graft, including instrumentation, when performed",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,27278,"Arthrodesis, sacroiliac joint, percutaneous or minimally invasive, with image guidance, includes obtaining bone graft when
performed, unilateral; placement of intra-articular device(s), without cortical piercing",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,27279,"Arthrodesis, sacroiliac joint, percutaneous or minimally invasive, with image guidance, includes obtaining bone graft when
performed, unilateral; placement of transarticular device(s) and/or intra-articular device(s) piercing the lateral or medial
cortices of the ilium and the lateral cortex of the sacrum",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,20936,"Autograft for spine surgery only (includes harvesting the graft); local (eg, ribs, spinous process, or laminar fragments)
obtained from same incision (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,20937,"Autograft for spine surgery only (includes harvesting the graft); morselized (through separate skin or fascial incision) (List
separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,20938,"Autograft for spine surgery only (includes harvesting the graft); structural, bicortical or tricortical (through separate skin or
fascial incision) (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63078,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; thoracic, each
additional interspace (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63077,"Discectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy; thoracic, single
interspace",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,20975,Electrical Stimulation To Aid Bone Healing; Invasive (Operative),Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,62380,"Endoscopic Decompression Of Spinal Cord, Nerve Root(S), Including Laminotomy, Partial Facetectomy, Foraminotomy,
Discectomy And/Or Excision Of Herniated Intervertebral Disc, 1 Interspace, Lumbar",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,62290,"Injection procedure for discography, each level; lumbar",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device
anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each
interspace (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22867,"Insertion Of Interlaminar/Interspinous Process Stabilization/Distraction Device, Without Fusion, Including Image Guidance
When Performed, With Open Decompression, Lumbar; Single Level",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22868,"Insertion of interlaminar/interspinous process stabilization/distraction device, without fusion, including image guidance when
performed, with open decompression, lumbar; second level (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22869,"Insertion Of Interlaminar/Interspinous Process Stabilization/Distraction Device, Without Open Decompression Or Fusion,
Including Image Guidance When Performed, Lumbar; Single Level",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22870,"Insertion of interlaminar/interspinous process stabilization/distraction device, without open decompression or fusion, including
image guidance when performed, lumbar; second level (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22854,"Insertion of intervertebral biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device
anchoring (eg, screws, flanges), when performed, to vertebral corpectomy(ies) (vertebral body resection, partial or complete)
defect, in conjunction with interbody arthrodesis, each contiguous defect (List separately in addition to code for primary
procedure)",Add‑On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22859,"Insertion of intervertebral biomechanical device(s) (eg, synthetic cage, mesh, methylmethacrylate) to intervertebral disc
space or vertebral body defect without interbody arthrodesis, each contiguous defect (List separately in addition to code for
primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22841,Internal spinal fixation by wiring of spinous processes (List separately in addition to code for primary procedure),Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,C1821,Interspinous process distraction device (implantable),Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63001,"Laminectomy With Exploration And/Or Decompression Of Spinal Cord And/Or Cauda Equina, Without Facetectomy,
Foraminotomy Or Discectomy (Eg, Spinal Stenosis), 1 Or 2 Vertebral Segments; Cervical",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63005,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy
or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; lumbar, except for spondylolisthesis",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63015,"Laminectomy With Exploration And/Or Decompression Of Spinal Cord And/Or Cauda Equina, Without Facetectomy,
Foraminotomy Or Discectomy (Eg, Spinal Stenosis), More Than 2 Vertebral Segments; Cervical",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63017,"Laminectomy With Exploration And/Or Decompression Of Spinal Cord And/Or Cauda Equina, Without Facetectomy,
Foraminotomy Or Discectomy (Eg, Spinal Stenosis), More Than 2 Vertebral Segments; Lumbar",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63016,"Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy
or discectomy (eg, spinal stenosis), more than 2 vertebral segments; thoracic",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63012,"Laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve
roots for spondylolisthesis, lumbar (Gill type procedure)",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or
nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or
nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional vertebral segment, cervical,
thoracic, or lumbar (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63045,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or
nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; cervical",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63044,"Laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or
excision of herniated intervertebral disc, reexploration, single interspace; each additional lumbar interspace (List separately in
addition to code for primary procedure)",Add On,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63042,"Laminotomy (Hemilaminectomy), With Decompression Of Nerve Root(S), Including Partial Facetectomy, Foraminotomy
And/Or Excision Of Herniated Intervertebral Disc, Reexploration, Single Interspace; Lumbar",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63020,"Laminotomy (Hemilaminectomy), With Decompression Of Nerve Root(S), Including Partial Facetectomy, Foraminotomy
And/Or Excision Of Herniated Intervertebral Disc; 1 Interspace, Cervical",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,63030,"Laminotomy (Hemilaminectomy), With Decompression Of Nerve Root(S), Including Partial Facetectomy, Foraminotomy
And/Or Excision Of Herniated Intervertebral Disc; 1 Interspace, Lumbar",Yes,CareCore National,,Table_table_19.csv
Musculoskeletal,Spine Surgery,22505,"Manipulation of spine requiring anesthesia, any region","Experimental /
Investigational - Yes",CareCore National,,Table_table_19.csv
Other Services,"Experimental /
Investigational",Q4423,"Biolab tri-membrane wrap flow, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",Q4424,"Revive ft, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",Q4436,"Renati ac membrane, per square centimeter (add-on, list separately in addition to primary procedure)”",Add On,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",Q4437,"Revival ac, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",Q4438,"Pretect, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",Q4440​,"Curamatrix, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,,Table_table_2.csv
"Crossover Code for:
• Primary Program: Other Services
• Companion Program:
Musculoskeletal - Joint / Spine Surgery
(See External Notation column for more
details.)",Joint Surgery,64999*,"Unlisted procedure, nervous system",Yes,MedSolutions,"This is a crossover code that can be requested under
three programs: MSK Joint, MSK Spine Surgery or
Other Services.
• If your request is intended to be used for Other
Services, please submit your request under the Other
Services program through the CareCoreNational
platform.
• If your request is intended to be used for MSK
Spine Surgery, please submit your request under the
MSK Spine program through the CareCoreNational
platform.
• If your request is intended to be used for MSK Joint
Surgery, please submit your request under the Other
Services program through the Medsolutions
platform.",Table_table_2.csv
"Crossover Code for:
• Primary Program: Musculoskeletal -
Pain Management
• Companion Program: Other Services
(See External Notation column for more
details.)",Other Services,C9807*,"Nerve stimulator, percutaneous, peripheral (e.g., sprint peripheral nerve stimulation system), including electrode and all
disposable system components, non-opioid medical device (must be a qualifying medicare non-opioid medical device for
post-surgical pain relief in accordance with section 4135 of the caa, 2023)",Yes,CareCore National,"This is a crossover code that can be requested
under two programs: MSK Pain Management or
Other Services.
• If your request is intended to be used for Other
Services, please submit your request under the Other
Services program through the CareCoreNational
platform.
• If your request is intended to be used for MSK Pain
Management, please submit your request under the
MSK program through the MedSolutions platform.",Table_table_2.csv
"Crossover Code for:
• Primary Program: Other Services
• Companion Program:
Musculoskeletal (MSK) - Spine
Surgery
(See External Notation column for
more details.)",Outpatient Surgery,64714*,"Neuroplasty, major peripheral nerve, arm or leg, open; lumbar plexus",Yes,CareCore National,"This is a crossover code that can be requested
under two programs: MSK Spine Surgery or
Other Services.
• If your request is intended to be used in
conjunction with MSK Spine Surgery, please
submit your request under the MSK Spine
program through the CareCoreNational
platform.",Table_table_2.csv
Other Services,Outpatient Surgery,60661,"Ablation of 1 or more thyroid nodule(s), additional lobe, percutaneous, including imaging guidance, radiofrequency (List
separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_2.csv
Other Services,Outpatient Surgery,60660,"Ablation of 1 or more thyroid nodule(s), one lobe or the isthmus, percutaneous, including imaging guidance, radiofrequency",Yes,CareCore National,,Table_table_2.csv
Other Services,Outpatient Surgery,0950T,"Ablation of benign prostate tissue, transrectal, with high intensity–focused ultrasound (HIFU), including ultrasound guidance",Yes,CareCore National,,Table_table_2.csv
Other Services,Outpatient Surgery,55880,"Ablation of malignant prostate tissue, transrectal, with high intensity-focused ultrasound (HIFU), including ultrasound
guidance",Yes,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",55881,"Ablation of prostate tissue, transurethral, using thermal ultrasound, including magnetic resonance imaging guidance for, and
monitoring of, tissue ablation",Yes,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",55882,"Ablation of prostate tissue, transurethral, using thermal ultrasound, including magnetic resonance imaging guidance for, and
monitoring of, tissue ablation; with insertion of transurethral ultrasound transducer for delivery of thermal ultrasound, including
suprapubic tube placement and placement of an endorectal cooling device, when performed",Yes,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",0601T,"Ablation, irreversible electroporation; 1 or more tumors per organ, including fluoroscopic and ultrasound guidance, when
performed, open",Yes,CareCore National,,Table_table_2.csv
Other Services,"Experimental /
Investigational",0600T,"Ablation, irreversible electroporation; 1 or more tumors per organ, other than liver or prostate, including imaging guidance,
when performed, percutaneous",Yes,CareCore National,,Table_table_2.csv
Other Services,Potentially Cosmetic,15787,Abrasion; each additional 4 lesions or less (List separately in addition to code for primary procedure),Add On,CareCore National,,Table_table_2.csv
Other Services,Potentially Cosmetic,15786,"Abrasion; single lesion (eg, keratosis, scar)",Yes,CareCore National,,Table_table_2.csv
"Crossover Code for:
• Primary Program: DME / O&P
• Companion Program:
Musculoskeletal (MSK) - Spine
Surgery
(See External Notation column for
more details.)",Spine Surgery,E0748*,"Osteogenesis stimulator, electrical, non-invasive, spinal applications",Yes,CareCore National,"This is a crossover code that can be requested
under two programs: MSK Spine Surgery and DME
• If your request is intended to be used in conjuction
with MSK Spine Surgery, please submit your request
under the MSK Spine program through the
CareCoreNational platform.
• If your request is intended to be DME, please
submit your request under the DME program through
the CareCoreNational platform.",Table_table_20.csv
Musculoskeletal,Spine Surgery,22220,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment, cervical",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22226,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; each additional vertebral segment
(List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22224,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; lumbar",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22210,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; cervical",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22216,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; each additional vertebral segment (List
separately in addition to primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22214,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; lumbar",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22208,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body
subtraction); each additional vertebral segment (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22207,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg. Pedicle/vertebral body
subtraction); lumbar",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22848,"Pelvic fixation (attachment of caudal end of instrumentation to pelvic bony structures) other than sacrum (List separately in
addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,0629T,"Percutaneous injection of allogeneic cellular and/or tissue-based product, intervertebral disc, unilateral or bilateral injection,
with CT guidance, lumbar; first level",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,0628T,"Percutaneous injection of allogeneic cellular and/or tissue-based product, intervertebral disc, unilateral or bilateral injection,
with fluoroscopic guidance, lumbar; each additional level (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,0627T,"Percutaneous injection of allogeneic cellular and/or tissue-based product, intervertebral disc, unilateral or bilateral injection,
with fluoroscopic guidance, lumbar; first level",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22526,"Percutaneous intradiscal electrothermal annuloplasty, unilateral or bilateral including fluoroscopic guidance; single level",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22513,"Percutaneous Vertebral Augmenation, Including Cavity Creation(Fracture Reduction And Bone Biopsy Included When
Performed) Using Mechanical Device (Eg, Kyphoplasty), 1 Vertebral Body, Unilateral Or Bilateral Cannulation, Inclusive Of All
Imgaing Guidance; Thoracic",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22515,"Percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when
performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all
imaging guidance; each additional thoracic or lumbar vertebral body (List separately in addition to code for primary
procedure)",Add‑On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22514,"Percutaneous Vertebral Augmentation, Including Cavity Creation (Fracture Reduction And Bone Biopsy Included When
Performed) Using Mechanical Device (Eg, Kyphoplasty), 1 Vertebral Body, Unilateral, Or Bilateral Cannulation, Inclusive Of
All Imaging Guidance; Lumbar",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22510,"Percutaneous Vertebroplasty(Bone Biopsy Included When Performed), 1 Vertebral Body, Unilateral Or Bilateral Injection,
Inclusive Of All Imaging Guidance; Cervicothoracic",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22512,"Percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection,
inclusive of all imaging guidance; each additional cervicothoracic or lumbosacral vertebral body (List separately in addition to
code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22511,"Percutaneous Vertebroplasty(Bone Biopsy Included When Performed), 1 Vertebral Body, Unilateral Or Bilateral Injection,
Inclusive Of All Imaging Guidance; Lumbosacral",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22840,"Posterior non-segmental instrumentation (eg, Harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial
transarticular screw fixation, sublaminar wiring at C1, facet screw fixation) (List separately in addition to code for primary
procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22844,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 13 or more
vertebral segments (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral
segments (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22843,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 7 to 12
vertebral segments (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22852,Removal of posterior segmental instrumentation,Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,0098T,"Revision including replacement of total disc arthroplasty (artificial disc), anterior approach, each additional interspace,
cervical (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22861,"Revision Including Replacement Of Total Disc Arthroplasty (Artificial Disc), Anterior Approach, Single Interspace; Cervical",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22862,"Revision Including Replacement Of Total Disc Arthroplasty (Artificial Disc), Anterior Approach, Single Interspace; Lumbar",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,64629,"Thermal destruction of intraosseous basivertebral nerve, including all imaging guidance; each additional vertebral body,
lumbar or sacral (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,64628,"Thermal destruction of intraosseous basivertebral nerve, including all imaging guidance; first 2 vertebral bodies, lumbar or
sacral",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22857,"Total Disc Arthroplasty (Artificial Disc), Anterior Approach, Including Discectomy To Prepare Interspace (Other Than For
Decompression), Single Interspace, Lumbar",Yes,CareCore National,,Table_table_20.csv
Musculoskeletal,Spine Surgery,22860,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy to prepare interspace (other than for
decompression); second interspace, lumbar (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,22856,"Total Disc Arthroplasty (Artificial Disc), Anterior Approach, Including Discectomy With End Plate Preparation (Includes
Osteophytectomy For Nerve Root Or Spinal Cord Decompression And Microdissection), Single Interspace, Cervical",Yes,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,22858,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy with end plate preparation (includes
osteophytectomy for nerve root or spinal cord decompression and microdissection); second level, cervical (List separately in
addition to code for primary procedure)",Add On,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63057,"Transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc),
single segment; each additional segment, thoracic or lumbar (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63056,"Transpedicular Approach With Decompression Of Spinal Cord, Equina And/Or Nerve Root(S) (Eg, Herniated Intervertebral
Disc), Single Segment; Lumbar (Including Transfacet, Or Lateral Extraforaminal Approach) (Eg, Far Lateral Herniated
Intervertebral Disc)",Yes,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63091,"Vertebral corpectomy (vertebral body resection), partial or complete, transperitoneal or retroperitoneal approach with
decompression of spinal cord, cauda equina or nerve root(s), lower thoracic, lumbar, or sacral; each additional segment (List
separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63090,"Vertebral corpectomy (vertebral body resection), partial or complete, transperitoneal or retroperitoneal approach with
decompression of spinal cord, cauda equina or nerve root(s), lower thoracic, lumbar, or sacral; single segment",Yes,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63082,"Vertebral corpectomy (vertebral body resection), partial or complete, anterior approach with decompression of spinal cord
and/or nerve root(s); cervical, each additional segment (List separately in addition to code for primary procedure)",Add On,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63081,"Vertebral Corpectomy (Vertebral Body Resection), Partial Or Complete, Anterior Approach With Decompression Of Spinal
Cord And/Or Nerve Root(S); Cervical, Single Segment",Yes,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63088,"Vertebral corpectomy (vertebral body resection), partial or complete, combined thoracolumbar approach with decompression
of spinal cord, cauda equina or nerve root(s), lower thoracic or lumbar; each additional segment (List separately in addition to
code for primary procedure)",Add On,CareCore National,,Table_table_21.csv
Musculoskeletal,Spine Surgery,63087,"Vertebral corpectomy (vertebral body resection), partial or complete, combined thoracolumbar approach with decompression
of spinal cord, cauda equina or nerve root(s), lower thoracic or lumbar; single segment",Yes,CareCore National,,Table_table_21.csv
"Crossover Code for:
• Primary Program: Other Services
• Companion Program:
Musculoskeletal (MSK) - Spine
Surgery
(See External Notation column for
more details.)",Spine Surgery,64714*,"Neuroplasty, major peripheral nerve, arm or leg, open; lumbar plexus",Yes,CareCore National,"This is a crossover code that can be requested
under two programs: MSK Spine Surgery or
Other Services.
• If your request is intended to be used in
conjunction with MSK Spine Surgery, please
submit your request under the MSK Spine
program through the CareCoreNational
platform.
• If your request is intended to be used for Other
Services only, please submit your request under
the Other Services program through the
CareCoreNational platform.",Table_table_21.csv
"Crossover Code for:
• Primary Program: Musculoskeletal
(MSK) - Spine Surgery
• Companion Program: Sleep
Management
(See External Notation column for more
details.)",Sleep Management,64568*,"Open implantation of cranial nerve (eg, vagus nerve) neurostimulator electrode array and pulse generator",Yes,CareCore National,"This is a crossover code that can be requested
under two programs: MSK Spine Surgery or
Sleep Management.
• If your request is intended to be used in
conjunction with MSK Spine Surgery, please
submit your request under the MSK Spine
program through the CareCoreNational
platform.
• If your request is intended to be used for Sleep
Managment only, please submit your request
under the Sleep Management program through
the CareCoreNational platform.",Table_table_21.csv
"Crossover Code for:
• Primary Program: Musculoskeletal
(MSK) - Spine Surgery
• Companion Program: Sleep
Management
(See External Notation column for
more details.)",Spine Surgery,64568*,"Open implantation of cranial nerve (eg, vagus nerve) neurostimulator electrode array and pulse generator",Yes,CareCore National,"This is a crossover code that can be requested
under two programs: MSK Spine Surgery or
Sleep Management.
• If your request is intended to be used in
conjunction with MSK Spine Surgery, please
submit your request under the MSK Spine
program through the CareCoreNational
platform.
• If your request is intended to be used for Sleep
Managment only, please submit your request
under the Sleep Management program through
the CareCoreNational platform.",Table_table_21.csv
Musculoskeletal,Spine Surgery,0869T,"Injection(s), bone-substitute material for bone and/or soft tissue hardware fixation augmentation, including intraoperative
imaging guidance, when performed","Experimental /
Investigational - Yes",CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,20939,"Bone marrow aspiration for bone grafting, spine surgery only, through separate skin or fascial incision (List separately in
addition to code for primary procedure)",Add On,CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,22836,"Anterior thoracic vertebral body tethering, including thoracoscopy, when performed; up to 7 vertebral segments",Yes,CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,22837,"Anterior thoracic vertebral body tethering, including thoracoscopy, when performed; 8 or more vertebral segments",Yes,CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,22838,"Revision (eg, augmentation, division of tether), replacement, or removal of thoracic vertebral body tethering, including
thoracoscopy, when performed",Yes,CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,22849,Reinsertion of spinal fixation device,Yes,CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,63267,"Laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; lumbar",Yes,CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,0656T,Anterior lumbar or thoracolumbar vertebral body tethering; up to 7 vertebral segments,Yes,CareCore National,,Table_table_22.csv
Musculoskeletal,Spine Surgery,C1062,"Intravertebral body fracture augmentation with implant (e.g., metal, polymer)",Yes,CareCore National,,Table_table_22.csv
Musculoskeletal,Joint Surgery,J7330,"Autologous cultured chondrocytes, implant",Yes,MedSolutions,,Table_table_22.csv
"Crossover Code for:
• Primary Program: Other Services
• Companion Program:
Musculoskeletal - Joint / Spine Surgery
(See External Notation column for more
details.)",Other Services,64999*,"Unlisted procedure, nervous system",Yes,CareCore National,"This is a crossover code that can be requested under
three programs: MSK Joint, MSK Spine Surgery or
Other Services.
• If your request is intended to be used for Other
Services, please submit your request under the Other
Services program through the CareCoreNational
platform.
• If your request is intended to be used for MSK
Spine Surgery, please submit your request under the
MSK Spine program through the CareCoreNational
platform.
• If your request is intended to be used for MSK Joint
Surgery, please submit your request under the Other
Services program through the Medsolutions
platform.",Table_table_22.csv
