Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Other Services,"Experimental /
Investigational",15011,Harvest of skin for skin cell suspension autograft; first 25 sq cm or less,Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4164,"Helicoll, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Outpatient Surgery,21685,Hyoid myotomy and suspension,Yes,CareCore National,
Other Services,"Experimental /
Investigational",C2624,"Implantable wireless pulmonary artery pressure sensor with delivery catheter, including all system components",Yes,CareCore National,
Other Services,"Experimental /
Investigational",C1889,"Implantable/insertable device, not otherwise classified",Yes,CareCore National,
Other Services,Outpatient Surgery,15778,"Implantation of absorbable mesh or other prosthesis for delayed closure of defect(s) (ie, external genitalia, perineum,
abdominal wall) due to soft tissue infection or trauma",Yes,CareCore National,
Other Services,Potentially Cosmetic,15777,"Implantation of biologic implant (eg, acellular dermal matrix) for soft tissue reinforcement (ie, breast, trunk) (List separately in
addition to code for primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",65785,Implantation of intrastromal corneal ring segments,Yes,CareCore National,
Other Services,"Experimental /
Investigational",66683,"Implantation of iris prosthesis, including suture fixation and repair or removal of iris, when performed",Yes,CareCore National,
Other Services,Outpatient Surgery,43881,"Implantation or replacement of gastric neurostimulator electrodes, antrum, open",Yes,CareCore National,
Other Services,Outpatient Surgery,69716,"Implantation, osseointegrated implant, skull; with magnetic transcutaneous attachment to external speech processor, within
the mastoid and/or resulting in removal of less than 100 sq mm surface area of bone deep to the outer cranial cortex",Yes,CareCore National,
Other Services,Potentially Cosmetic,69714,"Implantation, osseointegrated implant, skull; with percutaneous attachment to external speech processor",Yes,CareCore National,
Other Services,Outpatient Surgery,21088,Impression and custom preparation; facial prosthesis,Yes,CareCore National,
Other Services,Outpatient Surgery,21085,Impression and custom preparation; oral surgical splint,Yes,CareCore National,
