Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Other Services,"Experimental /
Investigational",Q4332,"Axolotl dualgraft, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4383,"Axolotl graft ultra, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4331,"Axolotl graft, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4138,"Biodfence dryflex, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4140,"Biodfence, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Potentially Cosmetic,15820,"Blepharoplasty, lower eyelid;",Yes,CareCore National,
Other Services,Potentially Cosmetic,15821,"Blepharoplasty, lower eyelid; with extensive herniated fat pad",Yes,CareCore National,
Other Services,Potentially Cosmetic,15822,"Blepharoplasty, upper eyelid;",Yes,CareCore National,
Other Services,Potentially Cosmetic,15823,"Blepharoplasty, upper eyelid; with excessive skin weighting down lid",Yes,CareCore National,
Other Services,Potentially Cosmetic,19325,Breast augmentation with implant,Yes,CareCore National,
Other Services,Potentially Cosmetic,19318,Breast reduction,Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4236,"Carepatch, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Potentially Cosmetic,20910,Cartilage graft; costochondral,Yes,CareCore National,
Other Services,Potentially Cosmetic,20912,Cartilage graft; nasal septum,Yes,CareCore National,
Other Services,Potentially Cosmetic,54161,"Circumcision, surgical excision other than clamp, device, or dorsal slit; older than 28 days of age",Yes,CareCore National,
Other Services,Potentially Cosmetic,56805,Clitoroplasty for intersex state,Yes,CareCore National,
Other Services,Outpatient Surgery,69930,"Cochlear device implantation, with or without mastoidectomy",Yes,CareCore National,
Other Services,Outpatient Surgery,L8614,"Cochlear device, includes all internal and external components",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4264,"Cocoon membrane, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4229,"Cogenex amniotic membrane, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4193,"Coll-e-derm, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4271,"Complete ft, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4270,"Complete sl, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Outpatient Surgery,21050,"Condylectomy, temporomandibular joint",Yes,CareCore National,
Other Services,Outpatient Surgery,57292,Construction of artificial vagina; with graft,Yes,CareCore National,
Other Services,Outpatient Surgery,57291,Construction of artificial vagina; without graft,Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4246,"Coretext or protext, per cc",Yes,CareCore National,
Other Services,Potentially Cosmetic,65772,Corneal relaxing incision for correction of surgically induced astigmatism,Yes,CareCore National,
Other Services,Potentially Cosmetic,19355,Correction of inverted nipples,Yes,CareCore National,
Other Services,Potentially Cosmetic,67911,Correction of lid retraction,Yes,CareCore National,
Other Services,"Experimental /
Investigational",C9809,"Cryoablation needle (e.g., iovera system), including needle/tip and all disposable system components, non-opioid medical
device (must be a qualifying medicare non-opioid medical device for post-surgical pain relief in accordance with section 4135
of the caa, 2023)",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4170,"Cygnus, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Outpatient Surgery,53865,"Cystourethroscopy with insertion of temporary device for ischemic remodeling (ie, pressure necrosis) of bladder neck and
prostate",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4166,"Cytal, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Outpatient Surgery,Q4122,"Dermacell, dermacell awm or dermacell awm porous, per square centimeter (add-on, list separately in addition to primary
procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",C9358,"Dermal substitute, native, non-denatured collagen, fetal bovine origin (surgimend collagen matrix), per 0.5 square
centimeters",Yes,CareCore National,
Other Services,"Experimental /
Investigational",C9360,"Dermal substitute, native, non-denatured collagen, neonatal bovine origin (surgimend collagen matrix), per 0.5 square
centimeters",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4152,"Dermapure, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Potentially Cosmetic,17107,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); 10.0 to 50.0 sq cm",Yes,CareCore National,
Other Services,Potentially Cosmetic,17106,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); less than 10 sq cm",Yes,CareCore National,
Other Services,Potentially Cosmetic,17108,"Destruction of cutaneous vascular proliferative lesions (eg, laser technique); over 50.0 sq cm",Yes,CareCore National,
Other Services,"Experimental /
Investigational",42160,"Destruction of lesion, palate or uvula (thermal, cryo or chemical)",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4262,"Dual layer impax membrane, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",C9785,"Endoscopic outlet reduction, gastric pouch application, with endoscopy and intraluminal tube insertion, if performed, including
all system and tissue anchoring components",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4187,"Epicord, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4361,"Epixpress, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,Outpatient Surgery,Q4186,"Epifix, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
