Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Other Services,"Experimental /
Investigational",43284,"Laparoscopy, surgical, esophageal sphincter augmentation procedure, placement of sphincter augmentation device (ie,
magnetic band), including cruroplasty when performed",Yes,CareCore National,
Other Services,Outpatient Surgery,43775,"Laparoscopy, surgical, gastric restrictive procedure; longitudinal gastrectomy (ie, sleeve gastrectomy)",Yes,CareCore National,
Other Services,Outpatient Surgery,43770,"Laparoscopy, surgical, gastric restrictive procedure; placement of adjustable gastric restrictive device (eg, gastric band and
subcutaneous port components)",Yes,CareCore National,
Other Services,Outpatient Surgery,43773,"Laparoscopy, surgical, gastric restrictive procedure; removal and replacement of adjustable gastric restrictive device
component only",Yes,CareCore National,
Other Services,Outpatient Surgery,43774,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device and subcutaneous port
components",Yes,CareCore National,
Other Services,Outpatient Surgery,43772,"Laparoscopy, surgical, gastric restrictive procedure; removal of adjustable gastric restrictive device component only",Yes,CareCore National,
Other Services,Outpatient Surgery,43771,"Laparoscopy, surgical, gastric restrictive procedure; revision of adjustable gastric restrictive device component only",Yes,CareCore National,
Other Services,Outpatient Surgery,43644,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and Roux-en-Y gastroenterostomy (roux limb 150 cm
or less)",Yes,CareCore National,
Other Services,Outpatient Surgery,43645,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and small intestine reconstruction to limit absorption",Yes,CareCore National,
Other Services,Outpatient Surgery,61737,"Laser interstitial thermal therapy (LITT) of lesion, intracranial, including burr hole(s), with magnetic resonance imaging
guidance, when performed; multiple trajectories for multiple or complex lesion(s)",Yes,CareCore National,
Other Services,Outpatient Surgery,61736,"Laser interstitial thermal therapy (LITT) of lesion, intracranial, including burr hole(s), with magnetic resonance imaging
guidance, when performed; single trajectory for 1 simple lesion",Yes,CareCore National,
Other Services,"Experimental /
Investigational",0947T,"Magnetic resonance image guided low intensity focused ultrasound (MRgFUS), stereotactic blood-brain barrier disruption
using microbubble resonators to increase the concentration of blood-based biomarkers of target, intracranial, including
stereotactic navigation and frame placement, when performed",Yes,CareCore National,
Other Services,Potentially Cosmetic,21270,"Malar augmentation, prosthetic material",Yes,CareCore National,
Other Services,"Experimental /
Investigational",21073,"Manipulation of temporomandibular joint(s) (TMJ), therapeutic, requiring an anesthesia service (ie, general or monitored
anesthesia care)",Yes,CareCore National,
Other Services,Potentially Cosmetic,19300,Mastectomy for gynecomastia,Yes,CareCore National,
Other Services,Potentially Cosmetic,19316,Mastopexy,Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4118,"Matristem micromatrix, 1 mg",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4345,"Matrix hd allograft dermis, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4126,"Memoderm, dermaspan, tranzgraft or integuply, per square centimeter (add-on, list separately in addition to primary
procedure)",Add On,CareCore National,
Other Services,Outpatient Surgery,21060,"Meniscectomy, partial or complete, temporomandibular joint",Yes,CareCore National,
Other Services,"Experimental /
Investigational",A2005,"Microlyte matrix, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",C9353,"Microporous collagen implantable slit tube (neurawrap nerve protector), per centimeter length",Yes,CareCore National,
Other Services,"Experimental /
Investigational",C9352,"Microporous collagen implantable tube (neuragen nerve guide), per centimeter length",Yes,CareCore National,
Other Services,Outpatient Surgery,31298,"Nasal/sinus endoscopy, surgical, with dilation (eg, balloon dilation); frontal and sphenoid sinus ostia",Yes,CareCore National,
Other Services,Outpatient Surgery,31296,"Nasal/sinus endoscopy, surgical, with dilation (eg, balloon dilation); frontal sinus ostium",Yes,CareCore National,
Other Services,Outpatient Surgery,31295,"Nasal/sinus endoscopy, surgical, with dilation (eg, balloon dilation); maxillary sinus ostium, transnasal or via canine fossa",Yes,CareCore National,
Other Services,Outpatient Surgery,31297,"Nasal/sinus endoscopy, surgical, with dilation (eg, balloon dilation); sphenoid sinus ostium",Yes,CareCore National,
Other Services,Outpatient Surgery,69706,"Nasopharyngoscopy, surgical, with dilation of eustachian tube (ie, balloon dilation); bilateral",Yes,CareCore National,
Other Services,Outpatient Surgery,69705,"Nasopharyngoscopy, surgical, with dilation of eustachian tube (ie, balloon dilation); unilateral",Yes,CareCore National,
Other Services,"Experimental /
Investigational",Q4396,"Natalin, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",A2021,"Neomatrix, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4267,"Neostim dl, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4266,"Neostim membrane, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4265,"Neostim tl, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4389,"Neothelium 4l+, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4388,"Neothelium 4l, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4156,"Neox 100 or clarix 100, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4148,"Neox cord 1k, neox cord rt, or clarix cord 1k, per square centimeter (add-on, list separately in addition to primary procedure)",Add On,CareCore National,
Other Services,"Experimental /
Investigational",Q4155,"Neoxflo or clarixflo, 1 mg",Yes,CareCore National,
Other Services,"Experimental /
Investigational",C9808,"Nerve cryoablation probe (e.g., cryoice, cryosphere, cryosphere max, cryoice cryosphere, cryoice cryo2), including probe and
all disposable system components, non-opioid medical device (must be a qualifying medicare non-opioid medical device for
post-surgical pain relief in accordance with section 4135 of the caa, 2023)",Yes,CareCore National,
Other Services,Potentially Cosmetic,19350,Nipple/areola reconstruction,Yes,CareCore National,
