Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
"Crossover Code for:
• Primary Program: Other Services
• Companion Program:
Musculoskeletal - Joint / Spine Surgery
(See External Notation column for more
details.)",Spine Surgery,64999*,"Unlisted procedure, nervous system",Yes,CareCore National,"This is a crossover code that can be requested under
three programs: MSK Joint, MSK Spine Surgery or
Other Services.
• If your request is intended to be used for Other
Services, please submit your request under the Other
Services program through the CareCoreNational
platform.
• If your request is intended to be used for MSK
Spine Surgery, please submit your request under the
MSK Spine program through the CareCoreNational
platform.
• If your request is intended to be used for MSK Joint
Surgery, please submit your request under the Other
Services program through the Medsolutions
platform."
Musculoskeletal,Spine Surgery,22850,"Removal of posterior nonsegmental instrumentation (eg, Harrington rod)",Yes,CareCore National,
Musculoskeletal,Spine Surgery,22855,Removal of anterior instrumentation,Yes,CareCore National,
Musculoskeletal,Spine Surgery,0657T,Anterior lumbar or thoracolumbar vertebral body tethering; 8 or more vertebral segments,Yes,CareCore National,
Musculoskeletal,Spine Surgery,C2614,"Probe, percutaneous lumbar discectomy",Yes,CareCore National,
Musculoskeletal,Spine Surgery,20930,"Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for
primary procedure)",Add On,CareCore National,
Musculoskeletal,Spine Surgery,20931,"Allograft, structural, for spine surgery only (List separately in addition to code for primary procedure)",Add On,CareCore National,
Musculoskeletal,Spine Surgery,22845,Anterior instrumentation; 2 to 3 vertebral segments (List separately in addition to code for primary procedure),Add On,CareCore National,
Musculoskeletal,Spine Surgery,22846,Anterior instrumentation; 4 to 7 vertebral segments (List separately in addition to code for primary procedure),Add On,CareCore National,
Musculoskeletal,Spine Surgery,22847,Anterior instrumentation; 8 or more vertebral segments (List separately in addition to code for primary procedure),Add On,CareCore National,
Musculoskeletal,Spine Surgery,22554,"Arthrodesis, Anterior Interbody Technique, Including Minimal Discectomy To Prepare Interspace (Other Than For
Decompression); Cervical Below C2",Yes,CareCore National,
