Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
"Crossover Code for:
• Primary Program: Musculoskeletal
(MSK) - Pain Management
• Companion Program: Sleep
Management
(See External Notation column for
more details.)","Interventional Pain
Management",L8680*,"Implantable neurostimulator electrode, each",Yes,MedSolutions,"This is a crossover code that can be requested
under two programs: MSK Pain Management or
Sleep Management.
• If your request is intended to be used for Sleep
Management only, please submit your request
under the Sleep Management program through
the CareCoreNational platform.
• If your request is intended to be used for MSK
Pain, please submit your request under the MSK
Pain program through the MedSolutions
platform."
"Crossover Code for:
• Primary Program: Musculoskeletal
(MSK) - Pain Management
• Companion Program: Sleep
Management
(See External Notation column for more
details.)","Interventional Pain
Management",L8681*,"Patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only",Yes,MedSolutions,"This is a crossover code that can be requested under
two programs: MSK Pain Management or Sleep
Management.
• If your request is intended to be used for Sleep
Management only, please submit your request under
the Sleep Management program through
the CareCoreNational platform.
•If your request is intended to be used for MSK Pain,
please submit your request under the MSK Pain
Management program through the MedSolutions
platform."
Musculoskeletal,"Interventional Pain
Management",C1772,"Infusion pump, programmable (implantable)",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",C1816,"Receiver and/or transmitter, neurostimulator (implantable)",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",C1820,"Generator, neurostimulator (implantable), with rechargeable battery and charging system",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",C1822,"Generator, neurostimulator (implantable), high frequency, with rechargeable battery and charging system",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",C1883,"Adapter/extension, pacing lead or neurostimulator lead (implantable)",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",C1897,"Lead, neurostimulator test kit (implantable)",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",L8679,"Implantable neurostimulator, pulse generator, any type",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",L8682,Implantable neurostimulator radiofrequency receiver,Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",L8685,"Implantable neurostimulator pulse generator, single array, rechargeable, includes extension",Yes,MedSolutions,
"Crossover Code for:
• Primary Program: Musculoskeletal
(MSK) - Pain Management
• Companion Program: Sleep
Management
(See External Notation column for more
details.)","Interventional Pain
Management",L8686*,"Implantable neurostimulator pulse generator, dual array, non-rechargeable, includes extension",Yes,MedSolutions,"This is a crossover code that can be requested
under two programs: MSK Pain Management or
Sleep Management.
• If your request is intended to be used for Sleep
Management only, please submit your request under
the Sleep Management program through
the CareCoreNational platform.
•If your request is intended to be used for MSK Pain,
please submit your request under the MSK Pain
Management program through the MedSolutions
platform."
Musculoskeletal,"Interventional Pain
Management",L8687,"Implantable neurostimulator pulse generator, dual array, rechargeable, includes extension",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",L8683,Radiofrequency transmitter (external) for use with implantable neurostimulator radiofrequency receiver,Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",L8689,"External recharging system for battery (internal) for use with implantable neurostimulator, replacement only",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",L8695,"External recharging system for battery (external) for use with implantable neurostimulator, replacement only",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",62320,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not
including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or
thoracic; without imaging guidance",Yes,MedSolutions,
Musculoskeletal,"Interventional Pain
Management",62321,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not
including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or
thoracic; with imaging guidance (ie, fluoroscopy or CT)",Yes,MedSolutions,
