Program,Category,CPT® Code,CPT® Code Description,"Commercial Prior
Authorization
Required?","Commercial Case Build
Platform",External Notation
Vascular Interventions,"Femoral-popliteal artery
angioplasty/stent",37269,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal stent
placement, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the stent placement and angioplasty when performed, within the same artery, unilateral;
complex lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,"Femoral-popliteal artery
angioplasty/stent",37270,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal stent
placement, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the stent placement and angioplasty when performed, within the same artery, unilateral;
complex lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,Atherectomy,37271,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal
atherectomy, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral;
straightforward lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,Atherectomy,37272,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal
atherectomy, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral;
straightforward lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,Atherectomy,37273,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal
atherectomy, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral;
complex lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,Atherectomy,37274,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal
atherectomy, including transluminal angioplasty when performed, including all maneuvers necessary for accessing and
selectively catheterizing the artery and crossing the lesion, including all imaging guidance and radiological supervision and
interpretation necessary to perform the atherectomy and angioplasty when performed, within the same artery, unilateral;
complex lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,Atherectomy,37275,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal stent
placement, with transluminal atherectomy, including transluminal angioplasty when performed, including all maneuvers
necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all imaging guidance and
radiological supervision and interpretation necessary to perform the stent placement, atherectomy, and angioplasty when
performed, within the same artery, unilateral; straightforward lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,Atherectomy,37276,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal stent
placement, with transluminal atherectomy, including transluminal angioplasty when performed, including all maneuvers
necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all imaging guidance and
radiological supervision and interpretation necessary to perform the stent placement, atherectomy, and angioplasty when
performed, within the same artery, unilateral; straightforward lesion, each additional vessel (List separately in addition to code
for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,Atherectomy,37277,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal stent
placement, with transluminal atherectomy, including transluminal angioplasty when performed, including all maneuvers
necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all imaging guidance and
radiological supervision and interpretation necessary to perform the stent placement, atherectomy, and angioplasty when
performed, within the same artery, unilateral; complex lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,Atherectomy,37278,"Revascularization, endovascular, open or percutaneous, femoral and popliteal vascular territory, with transluminal stent
placement, with transluminal atherectomy, including transluminal angioplasty when performed, including all maneuvers
necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all imaging guidance and
radiological supervision and interpretation necessary to perform the stent placement, atherectomy, and angioplasty when
performed, within the same artery, unilateral; complex lesion, each additional vessel (List separately in addition to code for
primary procedure)",Add‑On,CareCore National,
Vascular Interventions,"Intravascular Lithotripsy
- Femoral and Popliteal",37279,"Intravascular lithotripsy(ies), femoral and popliteal vascular territory, including all imaging guidance and radiological
supervision and interpretation necessary to perform the intravascular lithotripsy(ies) within the same artery (List separately in
addition to code for primary procedure)",Add On,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37280,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal angioplasty,
including all maneuvers necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all
imaging guidance and radiological supervision and interpretation necessary to perform the angioplasty within the same artery,
unilateral; straightforward lesion, initial vessel",Yes,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37281,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal angioplasty,
including all maneuvers necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all
imaging guidance and radiological supervision and interpretation necessary to perform the angioplasty within the same artery,
unilateral; straightforward lesion, each additional vessel (List separately in addition to code for primary procedure)",Add‑On,CareCore National,
Vascular Interventions,"Tibial Arterial
Interventions (LE)",37282,"Revascularization, endovascular, open or percutaneous, tibial and peroneal vascular territory, with transluminal angioplasty,
including all maneuvers necessary for accessing and selectively catheterizing the artery and crossing the lesion, including all
imaging guidance and radiological supervision and interpretation necessary to perform the angioplasty within the same artery,
unilateral; complex lesion, initial vessel",Yes,CareCore National,
